letter,tags,headword,eng,rus,forms,variants
а,,,,,,
,"conj
союз","а
a",but,а,,
,"n
сущ.","абаба́
abaˈba",maternal grandmother,бабушка по матери,абабне,"авба
бавба"
,"n
сущ.","аба́д
aˈbad",epoch,эпоха,,
,"conj
союз","а́бал
ˈabal",well then,ну тогда,,"абиьолли
абалле"
,"v cls
гл. кл.","абарта́ра
abarˈtara","to harass
to prevent","изводить
предотвращать","абатур
абатара",
,"adv
нар.","а́барьул
ˈabarhul",inadvertently,нечаянно,,
,"n
сущ.","абикка́н
abiˈkːan",disappointment,огорчение,"абикканил-
адикканте",
,"n
сущ.",абиккандеҳ,trouble,неприятность,,
,"v
гл.","а́биккул иҡа́ра
ˌabikːul iˈqara",to take offense,оскорбляться,"~ аҡив
~ аҡара",
,"v cls
гл. кл.","абирьо́ра
abirˈhora",to be ailing,хворать,,
,"v cls
гл. кл.","абиччиха́ра
abitʃːiˈχara",to hate,ненавидеть,,
,"n
сущ.","абу́й
aˈbuj",wallpaper,обои,абуйте,
,"adj cls
прил. кл.","абярҡҡу́р
abærˈqːur",ignorant,невежественный,абярҡҡул,
,"n
сущ.","ав
ˈav",prey,добыча,,
,"adj
прил.","авада́н
avaˈdan",vast,обширный,,
,"n
сущ.","ава́нц
aˈvants",prepayment,аванс,,
,"n
сущ.","авғу́с
avˈʁus",August,август,,
,"n
сущ.","авда́л
avˈdal",fool,глупец,авдалте,
,"n
сущ.","авдалде́ҳ
avdalˈdex",stupidity,глупость,,
,"n
сущ.","авжа́т
avˈʒat",flour porridge,мучная каша,,
,"n
сущ.","авла́ҡҡ
avˈlaqː",valley,долина,авлаҡҡе,
,"n
сущ.","авлийа́
avliˈja",insane person,умалишённый,авлийабе,
,"n
сущ.","а́вра
ˈavra","bother
chore","беспокойство
хлопота",,авара
,"adj
прил.","а́вра акко́р
ˌavra aˈkːor",careless,беспечный,,
,"n
сущ.","авсу́н
avˈsun",sister-in-law,золовка,авсунте,
,"adj
прил.","автт
ˈavtː",parallel,параллельный,,
,"v cls
гл. кл.","автт ьабирка́ра
ˌavtː habirˈkara",to quarrel,враждовать,"~ ьабичив
~ ьабикара",
,"n
сущ.","авттабу́з
avtːaˈbuz",bus,автобус,авттабузе,
,"n
сущ.","авттама́т
avtːaˈmat",assault rifle,автомат,авттамате,
,"n
сущ.","ағзи́н
aʁˈzin",idler,бездельник,ағзинте,азғин
